"[0.022736614946440865, 0, 0, 0.026605706359830488, 0, 0, 0, 0, 0, 0, 0, 0, 0.028001246604302456, 0, 0, 0]","[18.0, 3.3333333333333335]"
"[0.03417193346614951, 0, 0, 0.01625292314188011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.02526448337987067]","[17.333333333333332, 4.0]"
"[0.0014434231182875565, 0, 0, 0.003943936940087475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[17.0, 4.5]"
"[0.013546245241911777, 0, 0, 0.014412899376820356, 0, 0, 0, 0, 0, 0, 0, 0, 0.02526448337987067, 0, 0, 0]","[17.666666666666668, 2.3333333333333335]"
"[0.01625292314188011, 0, 0, 0.011143473924469648, 0, 0, 0, 0, 0, 0, 0, 0, 0.009693450038419408, 0, 0, 0]","[16.5, 3.0]"
"[0.02397546352601976, 0, 0, 0.01824500046113506, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[17.333333333333332, 3.6666666666666665]"
"[0.011143473924469648, 0, 0, 0.02526448337987067, 0, 0, 0, 0, 0, 0, 0, 0, 0.014412899376820356, 0, 0, 0]","[17.5, 2.0]"
"[0.011143473924469648, 0, 0, 0.012713323048502447, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.030964167002987885]","[18.0, 2.5]"
"[0.012713323048502447, 0, 0, 0.008354105232649203, 0, 0, 0, 0, 0, 0, 0, 0, 0.015314651539864253, 0, 0, 0]","[16.0, 3.0]"
"[0.022736614946440865, 0, 0, 0.030964167002987885, 0, 0, 0, 0, 0, 0, 0, 0, 0.02526448337987067, 0, 0, 0]","[16.0, 3.0]"
"[0.01824500046113506, 0, 0, 0.01625292314188011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[16.0, 3.5]"
"[0.02154598487310283, 0, 0, -0.0010863166740003537, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.030964167002987885]","[17.333333333333332, 3.0]"
"[0.01625292314188011, 0, 0, 0.020401696543677805, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.030964167002987885]","[16.5, 4.5]"
"[0.022736614946440865, 0, 0, 0.01625292314188011, 0, 0, 0, 0, 0, 0, 0, 0, 0.01824500046113506, 0, 0, 0]","[16.333333333333332, 2.6666666666666665]"
"[0.03417193346614951, 0, 0, 0.022736614946440865, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[17.0, 3.5]"
"[0.028001246604302456, 0, 0, 0.013546245241911777, 0, 0, 0, 0, 0, 0, 0, 0, 0.014412899376820356, 0, 0, 0]","[16.5, 4.5]"
"[0.01625292314188011, 0, 0, 0.029453303870722973, 0, 0, 0, 0, 0, 0, 0, 0, 0.028001246604302456, 0, 0, 0]","[16.333333333333332, 4.666666666666667]"
"[0, 0, 0, 0.0193019462432446, 0, 0, 0, 0, 0, 0, 0, 0, 0.02526448337987067, 0, 0, 0.0014434231182875565]","[18.5, 4.5]"
"[0.01824500046113506, 0, 0, 0.011143473924469648, 0, 0, 0, 0, 0, 0, 0, 0, 0.02526448337987067, 0, 0, 0]","[16.0, 5.0]"
"[0.01625292314188011, 0, 0, 0.0049188398423254676, 0, 0, 0, 0, 0, 0, 0, 0, 0.028001246604302456, 0, 0, 0.028001246604302456]","[17.0, 3.6666666666666665]"
"[0.008354105232649203, 0, 0, 0.008354105232649203, 0, 0, 0, 0, 0, 0, 0, 0, 0.012713323048502447, 0, 0, 0.028001246604302456]","[18.0, 4.333333333333333]"
"[0.01824500046113506, 0, 0, 0.02526448337987067, 0, 0, 0, 0, 0, 0, 0, 0, 0.022736614946440865, 0, 0, 0]","[16.333333333333332, 2.0]"
"[0.01625292314188011, 0, 0, 0.022736614946440865, 0, 0, 0, 0, 0, 0, 0, 0, 0.020401696543677805, 0, 0, 0]","[17.0, 3.5]"
"[0.012713323048502447, 0, 0, 0.028001246604302456, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.028001246604302456]","[19.0, 2.5]"
"[0.0193019462432446, 0, 0, 0.026605706359830488, 0, 0, 0, 0, 0, 0, 0, 0, 0.022736614946440865, 0, 0, 0]","[18.0, 2.6666666666666665]"
"[0.015314651539864253, 0, 0, 0.022736614946440865, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.028001246604302456]","[18.333333333333332, 3.6666666666666665]"
"[0.022736614946440865, 0, 0, 0.011912819880826446, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.028001246604302456]","[18.333333333333332, 3.6666666666666665]"
"[0.02526448337987067, 0, 0, 0.011912819880826446, 0, 0, 0, 0, 0, 0, 0, 0, 0.022736614946440865, 0, 0, 0]","[18.666666666666668, 2.0]"
"[0.020401696543677805, 0, 0, 0.011912819880826446, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.030964167002987885]","[18.333333333333332, 3.6666666666666665]"
